artist,track_name,mbid
Beyoncé,TEXAS HOLD 'EM,9279fbf4-1d16-40a0-8cba-9a4927b49132
Beyoncé,Diva,c19ea99a-4ac8-4d3d-94e7-4f65b6a88bed
Beyoncé,If I Were a Boy,91e88a72-2c58-4356-a4a5-222e98ae4522
Beyoncé,Single Ladies (Put a Ring on It),92e37099-d566-41ce-9e67-af0063f00509
Beyoncé,Beautiful Liar,f9e5e997-5464-40dc-b02c-9edad6266b39
Beyoncé,Sweet Dreams,93115c6b-ded1-4d7d-ad32-9d425715aa05
Taylor Swift,The Fate of Ophelia,1d8c79f6-e255-4f31-9953-1c1139604ddd
Taylor Swift,Opalite,679eefcf-7d77-43e9-8921-df6433283cf2
Taylor Swift,Elizabeth Taylor,d1681430-4e37-48c6-8a27-d432dad64830
Taylor Swift,Father Figure,f5a38405-4b90-482d-8b82-ea5ffd913955
Taylor Swift,The Life of a Showgirl (feat. Sabrina Carpenter),277b0d5c-990c-4e6c-b37c-d9f354502095
Taylor Swift,Wi$h Li$t,64be7dbc-c9fd-44ce-9c0b-97a58a264986
Taylor Swift,Wood,2f429955-e6d4-4cf4-bf38-f739ff9028b7
Taylor Swift,Actually Romantic,df7d506f-0e38-4fd3-80ff-2b5c36bb5238
Taylor Swift,CANCELLED!,eaa2136c-9036-492b-b67e-cb50725922ad
Taylor Swift,Eldest Daughter,772c5b6c-d22e-4bf1-8519-e929a507e5c5
Ed Sheeran,Shape of You,c664a576-f0e5-4725-8d52-05ecfe4822d8
Ed Sheeran,Photograph,638bc1df-309f-45de-9088-18362c25ff83
Ed Sheeran,Perfect,2a0e6123-9673-47f8-acf8-de20c5e7265b
Ed Sheeran,Sapphire,22f85a4e-322c-4400-a08c-ccd8af9106e1
Ed Sheeran,Thinking out Loud,9b09bad5-54e2-4cc6-b4f3-23d141aa0887
Ed Sheeran,Azizam,99fb34b7-036e-4277-a77b-3e98852fa07e
Ed Sheeran,Bad Habits,75effa1d-ded3-42d2-b848-7b37fcedd67c
Ed Sheeran,Shivers,85381b77-acb9-4f4a-9dc4-e9d953f8e3f5
Ed Sheeran,Camera,6adfff2f-7011-4231-9a55-a0bb0772a4f9
Ed Sheeran,I Don't Care,466dab89-f9f5-4ccd-80c1-34cdadb8a9e4
Rihanna,Breakin' Dishes,5ed4b349-8d8f-4ba1-925e-d61b27846a62
Rihanna,Where Have You Been,3e490486-a036-461a-b997-3ca3052111ba
Rihanna,We Found Love,a7748b59-0c8e-49d2-84b4-542ef7ea434c
Rihanna,Only Girl (In The World),38d9ba06-e5fd-41e7-bbfb-0467a1b28f39
Rihanna,Don't Stop The Music,b2d1ed17-37d1-4eed-901d-cb52e3e1507d
Rihanna,Umbrella,7fb9e333-f061-43ff-9ab7-7a1b8f3b93de
Rihanna,Love On The Brain,dc8799d5-78aa-4973-82fb-9d6f0af6c87e
Rihanna,S&M,7ab8ad48-37c5-45b0-93fe-fa94fd1761b3
Rihanna,Stay,77617256-c2ce-46b5-b8e5-9ff7894a5397
Rihanna,Disturbia,2d29ad68-bcd0-4652-954b-61e8bf9893ff
Kendrick Lamar,"All The Stars (with SZA) - From ""Black Panther: The Album""",6019f190-a500-4f43-896d-fdb4c88066be
Kendrick Lamar,luther (with sza),4451fb0e-cf5d-41d5-85b1-083b386e5bb0
Kendrick Lamar,Not Like Us,167b0a18-8923-4f64-82dd-30fb57e6216f
Kendrick Lamar,Money Trees,759aa726-e2de-42d1-9ff0-3e390d9beab0
Kendrick Lamar,tv off (feat. lefty gunplay),f51ce69b-f523-4486-820f-c111f1e827b0
Kendrick Lamar,HUMBLE.,d2325645-0653-4e96-a9f8-e22c259066b0
Kendrick Lamar,Swimming Pools (Drank),37b04338-bc18-41b7-9eb9-636213f81095
Kendrick Lamar,LOVE. FEAT. ZACARI.,daeb917b-014c-44b2-bacf-e733320a3e54
Kendrick Lamar,Like That,faad25fb-3ad1-4311-96f4-08cca6153a0a
Kendrick Lamar,PRIDE.,b80acf30-78ed-4c23-b4c3-c7e2387a06e4
Bruno Mars,Die With A Smile,5f63f44d-5119-446e-bf71-9df46f22dd0c
Bruno Mars,APT.,5dcf0f17-d13b-47c1-8386-fea1f5e25875
Bruno Mars,Locked out of Heaven,9dbd4c26-c4ad-4abe-ba3e-88bfe6750518
Bruno Mars,Just the Way You Are,93a89b89-3a02-4501-a55b-ca1d8f6575da
Bruno Mars,When I Was Your Man,126241da-d2cb-42c2-a40e-f30909057647
Bruno Mars,That's What I Like,661e19b7-5c69-48af-bee9-9c2110495d45
Bruno Mars,It Will Rain,15274cfe-4a96-4761-a01f-4fb99afc04d3
Bruno Mars,Talking to the Moon,7c2aef54-866a-4906-9143-546ad1ef93d1
Bruno Mars,Grenade,cc1584fa-5a4f-4f53-a27f-81d18bb7f89f
Bruno Mars,Marry You,3e020d84-374c-4248-b747-b06d2fc57056
Lana Del Rey,Young And Beautiful,aa9cdaf8-b8f4-42ad-92a3-d0c3d66bfcb1
Lana Del Rey,Summertime Sadness,f9f4b9b9-93e8-46fb-9273-0d9c42780e41
Lana Del Rey,Cinnamon Girl,93c05b1f-0366-4bb5-9a2b-d7007526bd7f
Lana Del Rey,Say Yes To Heaven,0acc2dde-26c0-41e5-8cb0-7dcce9665221
Lana Del Rey,Brooklyn Baby,d972038f-24e3-419d-a61c-5aea17efd93c
Lana Del Rey,Video Games,bc5d81f8-853f-41c2-a7dd-a90b9fe51d99
Lana Del Rey,West Coast,7d0e9387-3a50-4d50-9f89-ae644acc0ca7
Lana Del Rey,Born To Die,ac71eb2c-0a25-4f06-acff-13bec69d06e1
Lana Del Rey,Diet Mountain Dew,d9ebb923-eeee-40e7-b6d4-ec72be8c5817
Lana Del Rey,Margaret (feat. Bleachers),2a2f2abe-6209-40f4-8243-c8756447d7c1
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,b6df9d04-2303-4ec7-a416-367b06a026cb
Post Malone,I Had Some Help (Feat. Morgan Wallen),0ea72ea9-f315-4d6b-873e-0610c6a4974c
Post Malone,Circles,9d0a9e5c-a765-40ab-837e-99b0bb197f6c
Post Malone,Fortnight (feat. Post Malone),8c948e6b-3fe7-481d-9a31-62ebe4835980
Post Malone,rockstar (feat. 21 Savage),ff18a32b-47eb-4335-88bd-f22c768ecf96
Post Malone,Better Now,6e957bd5-ea12-4067-9512-ac57dfe6f3c7
Post Malone,Congratulations,18b9ead9-ad4d-47ce-9bea-a248b88e8734
Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),4ca9c5ee-a8e7-460e-a139-074bfb189d00
Post Malone,Guy For That (Feat. Luke Combs),09304fae-4457-4491-85a7-faebea2f9991
