artist,track_name
Roberto Carlos,Detalhes - Primera Fila - En Vivo
JAY-Z,'03 Bonnie & Clyde
Fleetwood Mac,Everywhere - 2017 Remaster
Phil Collins,"Easy Lover - Live at Waldbühne, Berlin, Germany, 7/15/1990"
Zezé Di Camargo & Luciano,Tão Linda e Tão Louca - Ao Vivo
Metallica,St. Anger
50 Cent,Outta Control
Childish Gambino,Heartbeat - Super Clean Version
Rage Against The Machine,Killing In the Name
Bob Dylan,Tangled Up In Blue
Beyoncé,Schoolin' Life - Live in Atlantic City
BTS,No More Dream
Sia,The Fight - Live At London Roundhouse
Bizarre Inc,I'm Gonna Get You
Don Omar,Zumba Campaign
Bruce Springsteen,Dancing In the Dark - from Born In The U.S.A. Live: London 2013
Metallica,The Day That Never Comes - Live From Quebec/2009
Mariah Carey,I Still Believe / Pure Imagination (feat. Krayzie Bone & Da Brat)
"Tyler, The Creator",See You Again (feat. Kali Uchis)
Bruno Mars,Grenade
Stromae,Papaoutai
The Animals,House of the Rising Sun
Rihanna,Umbrella
System Of A Down,Chop Suey!
Marvin Gaye,Ain't No Mountain High Enough
Of Monsters and Men,Little Talks
Bryan Adams,Summer Of '69
Lady Gaga,Bad Romance
The Cranberries,Zombie - 2025 Remastered
Justin Bieber,Boyfriend - Acoustic (Live)
Macklemore,Can't Hold Us (feat. Ray Dalton)
Eminem,Ass Like That - Super Clean Version
Rihanna,Stay
Fleetwood Mac,Go Your Own Way - 2004 Remaster
Foo Fighters,"Best Of You - Live At Wembley Stadium, 2008"
Foo Fighters,"Everlong - Live At Wembley Stadium, 2008"
Jeff Buckley,Hallelujah
The Smashing Pumpkins,Zero
DJ Snake,Jusqu'ici Tout Va Bien
ABBA,Mamma Mia - Live - ABBA Down Under
Soledad,Brindis (En Vivo)
Alicia Keys,"No One - Live from iTunes Festival, London, 2012"
Tame Impala,Love/Paranoia - Live On The Tonight Show Starring Jimmy Fallon
Sia,Cloud - Live At London Roundhouse
Drake,HYFR (Hell Ya F***ing Right)
The Police,King Of Pain - Live
Sandra,Maria Magdalena
ZZ Top,Velcro Fly
Metallica,Sad But True - Metallica - The Big Four: Live From Sonisphere / 2010
R. Kelly,Soldier's Heart
Steve Lacy,Dark Red
Djadja & Dinaz,J'fais mes affaires
Stromae,Alors on danse - Radio Edit
MGMT,Kids
French Montana,Unforgettable
Outkast,Ms. Jackson
Lilly Wood and The Prick,Prayer in C - Robin Schulz Radio Edit
Eminem,Without Me
KALEO,Way down We Go
Coldplay,Paradise
Coldplay,Fix You
Red Hot Chili Peppers,Can't Stop
Red Hot Chili Peppers,Californication
Nirvana,Come As You Are
Adele,Love In The Dark
Tom Odell,Heal
AC/DC,Highway to Hell
Sean Paul,Temperature
Caetano Veloso,Sozinho - Ao Vivo
USHER,Yeah! (feat. Lil Jon & Ludacris)
Queen,Don't Stop Me Now - Remastered 2011
Shawn Mendes,There's Nothing Holdin' Me Back
Clean Bandit,Rather Be (feat. Jess Glynne)
The Stranglers,Golden Brown
P!nk,U + Ur Hand
Jeff Buckley,Grace - Live at Gleneagles
Haftbefehl,Ihr Hurensöhne / Saudi Arabi Money Rich
The Smiths,Heaven Knows I'm Miserable Now
Coldplay,Everglow
Daft Punk,Prime Time of Your Life
P!nk,"What's Up - from Live from Wembley Arena, London, England"
Mariah Carey,Emotions
JAY-Z,99 Problems
Gorillaz,Dirty Harry - Live in Harlem
Pulcino Pio,Het Kuikentje Piep
John Mayer,No Such Thing - Live at the Nokia Theatre
Bill Withers,"Lean On Me - BBC In Concert, May 11, 1974"
Pantera,Primal Concrete Sledge - Live
The Cure,Friday I'm In Love - Acoustic
Michael Jackson,Classic MJ x Love Never Felt So Good
Beyoncé,Dance for You - Live in Atlantic City
Bruce Springsteen,Racing in the Street - Live at The Paramount Theatre 2009
Phil Collins,"Another Day in Paradise - Live at Waldbühne, Berlin, Germany, 7/15/1990"
Beyoncé,Beyonce: Behind The Scenes of Video Phone - Part 2 - featuring Lady Gaga
Bruce Springsteen,You're Missing - Live In Barcelona
Led Zeppelin,"Kashmir (Celebration Day: Live at 02 Arena, London, 12/10/2007)"
Bruce Springsteen,"Hard Times (Come Again No More) - London Calling: Live In Hyde Park, 2009"
Bruce Springsteen,Atlantic City - from In Concert/MTV Plugged
Tame Impala,Let It Happen
Kanye West,Flashing Lights
Kendrick Lamar,God Is Gangsta
Sean Paul,She Doesn't Mind
Pitbull,Timber
Guns N' Roses,Sweet Child O' Mine
The Game,Hate It Or Love It
Lost Frequencies,Are You With Me
The Neighbourhood,Daddy Issues
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight)
Tracy Chapman,Fast Car
WALK THE MOON,Shut Up and Dance
K3,Ya Ya Yippee
Sade,Like a Tattoo - Live from San Diego
Amy Winehouse,Back To Black
Journey,Don't Stop Believin' (2022 Remaster)
Jamiroquai,Bad Girls / Singin' in the Rain - Live in Verona
Green Day,Brain Stew / Jaded
Bon Jovi,Always - Live At Madison Square Garden / 2008
Roberto Carlos,Além do Horizonte - Sua História de Amor
Gorillaz,2D Ident
Mariah Carey,Obsessed (Remix)
Alicia Keys,"Fallin' - Live from Apple Music Festival, London, 2016"
Red Hot Chili Peppers,Irish National Anthem - Live at Slane Castle
The White Stripes,"Ball and Biscuit - Live at Shibuya-AX, Tokyo, Japan - 10/22/2003"
Sade,Sally - The Tube Dec 1984
Mariah Carey,Make It Happen
Bruce Springsteen,Worlds Apart - Live In Barcelona
Fergie,London Bridge
Linkin Park,"Meteora Tour, LPTV Episode 6"
Britney Spears,"Gimme More - Live from Apple Music Festival, London, 2016"
Sade,It's Only Love That Gets You Through - Lovers Live
